label,window_s,step_s,n_segments,n_stress,n_rest,train_acc,test_acc,bal_acc,f1,precision,recall,overfit_gap,TP,TN,FP,FN,status
win120_step60,120,60,704,513,191,0.9377,0.8794,0.89,0.9055,0.9647,0.8673,0.0583,444,174,17,69,ok
win120_step40,120,40,886,695,191,0.9307,0.874,0.8835,0.9081,0.9706,0.8662,0.0567,602,172,19,93,ok
win120_step20,120,20,1590,1341,249,0.9375,0.8766,0.8873,0.9167,0.9797,0.8719,0.0609,1164,225,24,177,ok
win60_step60,60,60,963,617,346,0.8823,0.7702,0.7819,0.7974,0.8785,0.7507,0.1121,459,280,66,158,ok
win60_step40,60,40,1223,851,372,0.82,0.7627,0.7897,0.798,0.9188,0.7292,0.0573,614,315,57,237,ok
win60_step20,60,20,2330,1614,716,0.8964,0.7851,0.7938,0.8254,0.8983,0.7812,0.1113,1245,578,138,369,ok
win40_step20,40,20,2550,1689,861,0.9319,0.7812,0.7756,0.8224,0.8593,0.8033,0.1508,1344,646,215,345,ok
win30_step15,30,15,3421,2233,1188,0.8109,0.7187,0.7346,0.752,0.8458,0.6921,0.0922,1535,925,263,698,ok
win20_step10,20,10,5169,3341,1828,0.9281,0.7217,0.7165,0.7694,0.8098,0.7431,0.2064,2473,1270,558,868,ok
