label,window_s,step_s,n_segments,n_stress,n_rest,train_acc,test_acc,bal_acc,f1,precision,recall,overfit_gap,TP,TN,FP,FN,status
win40_step20,40,20,2550,1689,861,0.9319,0.7812,0.7756,0.8224,0.8593,0.8033,0.1508,1344,646,215,345,ok
win30_step15,30,15,3421,2233,1188,0.8109,0.7187,0.7346,0.752,0.8458,0.6921,0.0922,1535,925,263,698,ok
win20_step10,20,10,5169,3341,1828,0.9281,0.7217,0.7165,0.7694,0.8098,0.7431,0.2064,2473,1270,558,868,ok
win120_step120,120,120,441,279,162,0.9731,0.8727,0.8818,0.882,0.9514,0.8482,0.1004,237,148,14,42,ok
